DATE,ERI_PREC,ERI_EVAP,ERI_RUNO
1941-11-01,56,,14.3
1941-12-01,47.7,,22.5
1942-01-01,43.8,,24.4
1942-02-01,76,,110.2
1942-03-01,80,,180.4
1942-04-01,63.4,,134.9
1942-05-01,131.7,,35.2
1942-06-01,74.8,,31.3
1942-07-01,100.2,,15.9
1942-08-01,78.1,,25.6
1942-09-01,103.5,,12.8
1942-10-01,93.5,,16.7
1942-11-01,90.2,,67.4
1942-12-01,83.8,,100.6
1943-01-01,47.8,,91
1943-02-01,44.5,,99
1943-03-01,64.9,,135.2
1943-04-01,100.3,,62.2
1943-05-01,144.9,,258.5
1943-06-01,68,,86.3
1943-07-01,110.3,,78.7
1943-08-01,64.9,,19.3
1943-09-01,61.7,,16.2
1943-10-01,76.2,,11
1943-11-01,47.4,,22.7
1943-12-01,27.5,,12.4
1944-01-01,30.4,,15.2
1944-02-01,60.2,,47.7
1944-03-01,77.9,,137.7
1944-04-01,105.5,,187.5
1944-05-01,82,,69.3
1944-06-01,78,,33.8
1944-07-01,38.1,,6.1
1944-08-01,74.8,,4.5
1944-09-01,79.1,,4.4
1944-10-01,44.3,,5.1
1944-11-01,60.5,,8.2
1944-12-01,64.6,,10.2
1945-01-01,49,,10.5
1945-02-01,56.9,,75.4
1945-03-01,105.6,,169
1945-04-01,81.7,,98.1
1945-05-01,105.1,,126.5
1945-06-01,122.6,,66.9
1945-07-01,69.4,,20.2
1945-08-01,73.6,,9.5
1945-09-01,163.7,,14
1945-10-01,126.3,,72.8
1945-11-01,62.3,,36.4
1945-12-01,52,,51.2
1946-01-01,29,,80.5
1946-02-01,54.6,,56.2
1946-03-01,65.6,,116.4
1946-04-01,23.7,,17
1946-05-01,137.9,,53.6
1946-06-01,109.6,,98.1
1946-07-01,62.9,,16.3
1946-08-01,53.9,,7.5
1946-09-01,35.6,,5.2
1946-10-01,86.6,,7.7
1946-11-01,61.2,,14.8
1946-12-01,68.8,,30.8
1947-01-01,99.8,,104.7
1947-02-01,24.6,,48.6
1947-03-01,61.7,,93.3
1947-04-01,140.2,,219.2
1947-05-01,134.1,,158.4
1947-06-01,105.5,,150.8
1947-07-01,87.4,,24.6
1947-08-01,87.7,,15.1
1947-09-01,81.3,,23.1
1947-10-01,29.2,,12
1947-11-01,72.6,,22.5
1947-12-01,55,,44.3
1948-01-01,43.8,,56
1948-02-01,63.2,,101.2
1948-03-01,113,,244.5
1948-04-01,78.7,,105
1948-05-01,104.2,,105.5
1948-06-01,116.9,,24.3
1948-07-01,63,,53.7
1948-08-01,65.7,,37.7
1948-09-01,44.5,,24.9
1948-10-01,80.6,,24
1948-11-01,94.7,,54
1948-12-01,56.6,,89.8
1949-01-01,80.4,,236.8
1949-02-01,61.9,,278
1949-03-01,68.5,,167.5
1949-04-01,59.6,,120.8
1949-05-01,80.1,,81.4
1949-06-01,47,,39.7
1949-07-01,86.4,,31
1949-08-01,81.9,,21.7
1949-09-01,83.6,,25.9
1949-10-01,40,,26.8
1949-11-01,75.2,,26.4
1949-12-01,82.9,,148.7
1950-01-01,149.2,38.5,472.8
1950-02-01,105.1,38.9,267.6
1950-03-01,90.5,30.5,406.3
1950-04-01,96.6,14.1,307.6
1950-05-01,42.7,7,89
1950-06-01,69.2,49.8,57.7
1950-07-01,100.1,73.9,40.9
1950-08-01,71.8,113.5,29.9
1950-09-01,88.5,152,49.5
1950-10-01,68,138.7,57.6
1950-11-01,142.2,191.9,124.2
1950-12-01,63.3,78.1,262.5
1951-01-01,70.4,31.3,262.7
1951-02-01,80.2,16.5,343.1
1951-03-01,105.4,15.8,332.9
