DATE,MHG_PREC,MHG_EVAP,MHG_RUNO
1941-11-01,85.3,,92.9
1941-12-01,56.9,,66.6
1942-01-01,59.9,,53.1
1942-02-01,30.7,,43.2
1942-03-01,76.9,,115
1942-04-01,36.4,,117.9
1942-05-01,120.7,,82.6
1942-06-01,72.4,,70
1942-07-01,70.3,,37.4
1942-08-01,50.6,,35
1942-09-01,133,,35.2
1942-10-01,62.4,,43.8
1942-11-01,69.8,,62.2
1942-12-01,90.2,,54.1
1943-01-01,63.3,,59.3
1943-02-01,54.9,,66.7
1943-03-01,78.8,,100.6
1943-04-01,61,,116.3
1943-05-01,101.9,,137.9
1943-06-01,102.8,,121.9
1943-07-01,71,,55.3
1943-08-01,83.4,,38.4
1943-09-01,50.8,,45.1
1943-10-01,51.4,,33.3
1943-11-01,86.4,,45.5
1943-12-01,33,,37.6
1944-01-01,31.4,,34.8
1944-02-01,44.8,,41.6
1944-03-01,72.2,,64.8
1944-04-01,55.2,,84.5
1944-05-01,55.6,,85.8
1944-06-01,103,,50.1
1944-07-01,74.5,,30.8
1944-08-01,54.4,,25.7
1944-09-01,109.1,,25.9
1944-10-01,36.1,,29.8
1944-11-01,76.9,,33.5
1944-12-01,56.6,,34.5
1945-01-01,47.2,,30
1945-02-01,49.1,,30.2
1945-03-01,42.2,,76.4
1945-04-01,81.4,,85.3
1945-05-01,131.8,,95
1945-06-01,95.6,,100.2
1945-07-01,57.8,,39.8
1945-08-01,78.1,,30.4
1945-09-01,124.3,,35.3
1945-10-01,72.2,,54.8
1945-11-01,79,,66.7
1945-12-01,57.5,,47.5
1946-01-01,73.7,,70.9
1946-02-01,45.9,,48.4
1946-03-01,42.9,,148.7
1946-04-01,22.7,,65.7
1946-05-01,80.3,,53.1
1946-06-01,73.9,,53.2
1946-07-01,36.7,,35
1946-08-01,55,,26.4
1946-09-01,63.5,,24.9
1946-10-01,43.6,,25.7
1946-11-01,62.8,,33.8
1946-12-01,80.4,,40.3
1947-01-01,61.2,,43.1
1947-02-01,44.7,,39
1947-03-01,46.3,,63
1947-04-01,104.4,,172.1
1947-05-01,119.1,,149
1947-06-01,70.1,,120.8
1947-07-01,81.3,,45.9
1947-08-01,42.7,,31.6
1947-09-01,106.9,,32.6
1947-10-01,26.3,,29.9
1947-11-01,72.6,,32.4
1947-12-01,39.9,,42.3
1948-01-01,53.6,,35.1
1948-02-01,46.9,,40.5
1948-03-01,89.1,,127.3
1948-04-01,68.2,,105.7
1948-05-01,67.2,,82.3
1948-06-01,65.6,,35.8
1948-07-01,55.7,,29.8
1948-08-01,35.4,,24.9
1948-09-01,40.1,,20.3
1948-10-01,41.4,,20.3
1948-11-01,99.6,,31.7
1948-12-01,51.1,,36
1949-01-01,76.4,,50.1
1949-02-01,59.2,,61
1949-03-01,52.1,,72.5
1949-04-01,41.5,,90
1949-05-01,54.1,,55.1
1949-06-01,89.5,,41.7
1949-07-01,83.2,,38.1
1949-08-01,47.8,,27.3
1949-09-01,64.5,,25.1
1949-10-01,49.7,,28.8
1949-11-01,60.1,,27.3
1949-12-01,86.4,,53.7
1950-01-01,89.6,90.8,78.1
1950-02-01,60.7,53,53.7
1950-03-01,67.5,40.3,100.1
1950-04-01,82.5,19.8,151.9
1950-05-01,34.3,-1.8,100.4
1950-06-01,82.9,-4.8,49.8
1950-07-01,93.3,3.1,37.7
1950-08-01,76.1,37.2,30.4
1950-09-01,66.5,46.2,32.6
1950-10-01,45,48.3,30
1950-11-01,80.6,120.9,38.9
1950-12-01,64.4,114,59.5
1951-01-01,58.2,58,63.1
1951-02-01,55.3,32.7,60.7
1951-03-01,76.7,31.9,93.6
1951-04-01,98.8,2,189.3
1951-05-01,45.5,-3.8,89.9
1951-06-01,65.2,-4,47.1
1951-07-01,109.6,2,46.2
1951-08-01,84.1,30.1,33.5
1951-09-01,85.6,71.2,33.8
1951-10-01,124.8,63.5,65.7
1951-11-01,80.6,123.6,93.5
1951-12-01,82.8,95.8,73.2
1952-01-01,66.7,57.1,89.8
1952-02-01,28.1,38.3,65
1952-03-01,64.7,32,87.1
1952-04-01,66.4,6.2,157.3
1952-05-01,73.8,-1.8,71.8
1952-06-01,64.8,-4.5,42.1
1952-07-01,135.3,9.2,44.3
1952-08-01,87.7,34.5,36.5
1952-09-01,51.8,71.8,29.8
1952-10-01,16.2,132.2,26.9
1952-11-01,86,84.3,33.8
1952-12-01,54.7,83,50.1
1953-01-01,55.5,72.2,45.5
1953-02-01,68.6,46.2,47.4
1953-03-01,63.3,29.8,100.7
1953-04-01,75.9,15.7,105.1
1953-05-01,80.5,0.2,86.6
1953-06-01,75.5,0.3,50.9
1953-07-01,78.1,24.6,41.8
1953-08-01,63.2,37.9,31.6
1953-09-01,74.1,92.2,25.3
1953-10-01,32.3,64.6,24.4
1953-11-01,46.3,88.6,24.6
1953-12-01,66.7,121.9,32.9
1954-01-01,44.7,103.5,30.9
1954-02-01,52.8,31,55.6
1954-03-01,65.6,57.2,86.2
1954-04-01,110.7,13.1,113.8
1954-05-01,57.5,6.7,80.7
1954-06-01,131.6,-1.8,68.2
1954-07-01,67,20.3,37.2
1954-08-01,62.4,54.5,27
1954-09-01,116.9,55.7,32.6
1954-10-01,146.1,70.9,112.9
1954-11-01,48.9,85.9,63.2
1954-12-01,52,110.9,54.7
1955-01-01,54.6,98,55.7
1955-02-01,41.9,44.7,44.6
1955-03-01,49.9,48.8,87.6
1955-04-01,70.3,0.7,116.9
1955-05-01,67.6,-1.2,51.3
1955-06-01,52.7,4.1,36.8
1955-07-01,57,15.6,23.9
1955-08-01,68.9,58.6,22
1955-09-01,31.2,87.3,18.5
1955-10-01,98,70.7,26
1955-11-01,69.8,139.8,38.5
1955-12-01,49.7,132,35.1
1956-01-01,21.8,65.6,30.8
1956-02-01,39,42.8,30.6
1956-03-01,49,37.9,66.5
1956-04-01,72.6,14.7,103.9
1956-05-01,90.9,1,116.1
1956-06-01,66.2,-3.6,48.2
1956-07-01,94.2,8.4,45.9
1956-08-01,97.7,27.7,36.5
1956-09-01,52.6,75.1,34.2
1956-10-01,20,50.9,30.7
1956-11-01,61.7,120.8,33.1
1956-12-01,50.1,101.7,41.7
1957-01-01,52.9,83.3,37.8
1957-02-01,31.5,28.6,39.9
1957-03-01,36.6,22.4,59.3
1957-04-01,78.7,9.4,85.2
1957-05-01,90.9,1,68.5
1957-06-01,98.3,-5.5,45.6
1957-07-01,70.2,5.4,74.7
1957-08-01,54.5,49.1,24.2
1957-09-01,84.4,67.8,29.2
1957-10-01,75.7,72.9,32.5
1957-11-01,89,103.6,60.2
1957-12-01,72.5,99.1,65.9
1958-01-01,40,69,46.1
1958-02-01,30,57.8,34.2
1958-03-01,14.1,15,60.3
1958-04-01,43.5,9.8,59
1958-05-01,35.1,3.8,32.7
1958-06-01,69.1,4.2,25.4
1958-07-01,72.9,9.3,31.2
1958-08-01,70,51.5,21.7
1958-09-01,87.7,54.8,24.3
1958-10-01,57.7,69.9,25.1
1958-11-01,77.9,113.8,34
1958-12-01,53.9,139.6,29.2
1959-01-01,57.7,74.2,27.4
1959-02-01,59.4,33.6,33.9
1959-03-01,55.4,22,76.5
1959-04-01,88.3,3.7,146.4
1959-05-01,79,-5,86.7
1959-06-01,36.4,-5.8,35.2
1959-07-01,77.2,-2,27
1959-08-01,125.9,7.2,27.4
1959-09-01,99.1,71.5,31.9
1959-10-01,121.3,85.1,51
1959-11-01,83.7,125.4,67.3
1959-12-01,69.4,77.2,63.5
1960-01-01,67.3,61.1,62.7
1960-02-01,53,46.1,50.6
1960-03-01,41.1,39,55.2
1960-04-01,87.2,2.9,183
1960-05-01,125.9,-2.4,187.3
1960-06-01,95.2,-5.4,69.4
1960-07-01,83.5,1.9,49.1
1960-08-01,72.1,20.8,35.3
1960-09-01,73.3,53.8,33.2
1960-10-01,59.9,73.7,31.4
1960-11-01,68.1,92.9,47.1
1960-12-01,38,133.2,36.5
1961-01-01,26.3,67.2,29.2
1961-02-01,34.5,21.5,32.7
1961-03-01,64,17.6,67.3
1961-04-01,57.1,8.4,79.2
1961-05-01,39.1,1.9,68.1
1961-06-01,82.1,-0.6,41.8
1961-07-01,74.2,3.8,38.9
1961-08-01,68.2,29.8,32.8
1961-09-01,152.1,64.5,41
1961-10-01,59.2,65,42.5
1961-11-01,65.4,91.2,59.9
1961-12-01,57,112.1,53.4
1962-01-01,76.9,84.7,41.3
1962-02-01,57.8,32,38.8
1962-03-01,24.3,14.2,90
1962-04-01,47.8,8.1,94.4
1962-05-01,65.1,-4.1,86.7
1962-06-01,60.8,-4.4,37.5
1962-07-01,62.7,9,25.2
1962-08-01,73.4,25.1,22
1962-09-01,82.2,74.6,23.5
1962-10-01,71.7,62.7,28.8
1962-11-01,29.5,81.2,31
1962-12-01,70.3,116.8,32.8
1963-01-01,46.7,71.4,31.1
1963-02-01,28.2,28.9,25.6
1963-03-01,59.1,12.1,65
1963-04-01,53.8,4.1,78.4
1963-05-01,79.7,-0.7,63.6
1963-06-01,47.1,-4.9,35.7
1963-07-01,78.4,0.7,22.8
1963-08-01,75.3,37.4,20.8
1963-09-01,66.5,55.1,20
1963-10-01,29.4,41.9,19.7
1963-11-01,68.2,86.7,25.3
1963-12-01,62.4,130.3,29.6
1964-01-01,46.5,59.8,33.6
1964-02-01,19.6,51.2,27.7
1964-03-01,53.4,43.2,41.1
1964-04-01,80.2,11.3,65.4
1964-05-01,71.1,-3.2,65.7
1964-06-01,37.3,-0.7,27.2
1964-07-01,86.9,14.9,22.7
1964-08-01,104.5,57.7,21.7
1964-09-01,98,67,25.1
1964-10-01,33,81.3,32.5
1964-11-01,73.1,80.6,31.4
1964-12-01,63.4,112.4,41.5
1965-01-01,82.2,77.3,40.2
1965-02-01,66.6,43.3,53.1
1965-03-01,50.5,31.8,70.3
1965-04-01,74.2,5.4,129.8
1965-05-01,66,-3.1,96.2
1965-06-01,52.3,-2.5,33
1965-07-01,59.3,8.3,21.4
1965-08-01,108.7,35,28.2
1965-09-01,162.9,46.9,47.5
1965-10-01,65,72.7,65.3
1965-11-01,78.9,79.7,65.1
1965-12-01,76.7,72.6,88.8
1966-01-01,47.6,82.9,67.9
1966-02-01,42.3,30.1,65
1966-03-01,71,22.3,95.5
1966-04-01,60.7,9.1,87.2
1966-05-01,47.1,8.7,68.1
1966-06-01,43.9,-1.4,49.2
1966-07-01,45.3,17.2,24.4
1966-08-01,81.1,44,22.2
1966-09-01,51,81.9,20.4
1966-10-01,55.9,86.7,31.4
1966-11-01,120.2,89.3,53.9
1966-12-01,79.9,99.4,91.5
1967-01-01,77,65.8,60.4
1967-02-01,52.5,57.1,53.9
1967-03-01,34.2,24.9,83.8
1967-04-01,98.2,7.8,169.4
1967-05-01,46.8,5.1,94
1967-06-01,133.3,-3.7,74.1
1967-07-01,44.8,4.9,47.8
1967-08-01,81.8,40.9,31.6
1967-09-01,57.1,66.1,25.9
1967-10-01,100.9,67.6,42.2
1967-11-01,80.1,93.4,80
1967-12-01,73.6,85.1,78.1
1968-01-01,46.6,55.9,54.5
1968-02-01,55.6,51.9,73.9
1968-03-01,27,19.9,74
1968-04-01,70.6,3.7,89.1
1968-05-01,73.7,0.8,59.9
1968-06-01,105.7,-1.5,56
1968-07-01,62.5,10.3,49.1
1968-08-01,93.2,38.3,34.7
1968-09-01,93.3,40.4,44.7
1968-10-01,57.8,80.1,45.8
1968-11-01,67.2,91.6,46.6
1968-12-01,94.6,121.7,59.3
1969-01-01,76.3,60.8,63.4
1969-02-01,14.6,33.5,59.6
1969-03-01,35.9,36,70.5
1969-04-01,77.9,6,131.7
