DATE,ONT_PREC,ONT_EVAP,ONT_RUNO
1942-01-01,58.9,,110.5
1942-02-01,76.2,,81.1
1942-03-01,92.1,,392.6
1942-04-01,54.8,,347.1
1942-05-01,118.4,,136.4
1942-06-01,45.5,,87.7
1942-07-01,79,,56.1
1942-08-01,38.1,,53.2
1942-09-01,90.7,,70.2
1942-10-01,70.8,,89.9
1942-11-01,80.5,,166.8
1942-12-01,117.9,,158.8
1943-01-01,54.6,,266.9
1943-02-01,56.6,,212.1
1943-03-01,73.4,,359.6
1943-04-01,83.9,,322.9
1943-05-01,138.8,,523.5
1943-06-01,70.5,,195.7
1943-07-01,75.1,,74.4
1943-08-01,91.6,,68.5
1943-09-01,50.7,,57.6
1943-10-01,111.1,,69.2
1943-11-01,55.9,,149.6
1943-12-01,23.4,,101.1
1944-01-01,29,,94.1
1944-02-01,60.4,,101.5
1944-03-01,66.4,,198.1
1944-04-01,94.2,,351.3
1944-05-01,65.3,,249.4
1944-06-01,93.9,,103.8
1944-07-01,67.6,,66.3
1944-08-01,57.5,,41.5
1944-09-01,68.5,,39.4
1944-10-01,29.5,,44.1
1944-11-01,56.3,,46.9
1944-12-01,97.3,,81.9
1945-01-01,54.6,,100.7
1945-02-01,59.9,,134.3
1945-03-01,76.1,,541.7
1945-04-01,95.7,,258.7
1945-05-01,122.1,,294.8
1945-06-01,74,,146.7
1945-07-01,121.7,,101
1945-08-01,55.8,,54.7
1945-09-01,151.4,,93.1
1945-10-01,104.2,,251.6
1945-11-01,96.2,,199.6
1945-12-01,49.7,,230
1946-01-01,44.3,,237.6
1946-02-01,60.9,,130.3
1946-03-01,28.5,,357.6
1946-04-01,31.1,,106.4
1946-05-01,86.9,,123.1
1946-06-01,56.4,,107.6
1946-07-01,56.8,,58.5
1946-08-01,56.3,,45.9
1946-09-01,74.9,,38.4
1946-10-01,101.2,,87
1946-11-01,69.9,,125.4
1946-12-01,78.5,,146.5
1947-01-01,111.9,,223
1947-02-01,38.5,,188.9
1947-03-01,85.1,,289.2
1947-04-01,78.6,,550.8
1947-05-01,113.2,,347.1
1947-06-01,117.8,,317.7
1947-07-01,148.6,,136.7
1947-08-01,49.1,,81.2
1947-09-01,68.1,,52.7
1947-10-01,20.2,,41.7
1947-11-01,67.9,,67.8
1947-12-01,60.3,,113.9
1948-01-01,55.7,,69
1948-02-01,65.5,,143.8
1948-03-01,85.6,,439.1
1948-04-01,68.9,,273.3
1948-05-01,80.6,,201.3
1948-06-01,70.9,,95.1
1948-07-01,47,,58.6
1948-08-01,40.2,,50.6
1948-09-01,33.1,,37
1948-10-01,83.8,,47.3
1948-11-01,89.3,,87.9
1948-12-01,56.7,,86.8
1949-01-01,72.9,,211.2
1949-02-01,67,,243.6
1949-03-01,42.2,,249.4
1949-04-01,70.5,,237.7
1949-05-01,39.3,,103.6
1949-06-01,23.7,,41.4
1949-07-01,51.7,,32.9
1949-08-01,56.3,,33.3
1949-09-01,86.7,,48.2
1949-10-01,37.4,,52.2
1949-11-01,80,,62.1
1949-12-01,93,,153.6
1950-01-01,101.9,101.3,227.2
1950-02-01,84.1,84.4,121.1
