DATE,SUP_EVAP,MHG_EVAP,ERI_EVAP,ONT_EVAP,SUP_PREC,MHG_PREC,ERI_PREC,ONT_PREC,SUP_RUNO,MHG_RUNO,ERI_RUNO,ONT_RUNO,SUP_NBS,MHG_NBS,ERI_NBS,ONT_NBS
1916-02-01,,,,,22.1,30.5,54.9,63.2,11.1,74,92.8,136,,,,
1916-03-01,,,,,53.1,68.5,78.7,54.9,12.4,76.2,142.1,201.9,,,,
1916-04-01,,,,,72.1,65.4,67.3,77.2,201.7,237.3,123.6,624,,,,
1916-05-01,,,,,84.8,104.6,122.4,134.1,145.9,153.3,83.6,303.2,,,,
1916-06-01,,,,,125,108.3,95.3,123.2,64.7,118,83.3,317.4,,,,
1916-07-01,,,,,40.1,28.4,27.9,31,40.8,47.6,14.6,95.5,,,,
1916-08-01,,,,,77.2,60,58.2,42.2,16.3,30.4,7.3,32.6,,,,
1916-09-01,,,,,149.6,75.2,64.5,47.2,26.2,34.5,4.8,22.9,,,,
1916-10-01,,,,,78.5,101.5,72.6,72.9,19.4,47.5,8.5,29.9,,,,
1916-11-01,,,,,28.2,66.9,51.6,48.3,16.1,82.4,8.7,41.7,,,,
1916-12-01,,,,,58.7,67.4,71.4,62.5,11.2,86.4,14.5,61.5,,,,
1917-01-01,,,,,34.5,40.3,67.3,74.2,8.4,40.4,43.8,62.2,,,,
1917-02-01,,,,,24.4,24.8,38.9,45.7,6.7,23.4,25.6,50.9,,,,
1917-03-01,,,,,74.9,46.4,78.5,58.7,7.7,94.5,128.7,296.6,,,,
1917-04-01,,,,,32.3,62.2,57.9,127.5,44.9,170.7,123.5,350,,,,
1917-05-01,,,,,38.4,66.9,109.7,124.2,38.5,131.4,60.8,137.6,,,,
1917-06-01,,,,,70.6,128.4,133.6,130.6,32.5,137.5,47,161.5,,,,
1917-07-01,,,,,52.1,67.4,73.2,67.1,20.9,128.1,53,83.7,,,,
1917-08-01,,,,,78,55,72.1,63,19.7,38.1,9.7,39.4,,,,
1917-09-01,,,,,52.1,45.5,55.1,35.3,12.3,27.8,7.2,40.1,,,,
1917-10-01,,,,,80.5,86.5,162.3,149.1,22.3,35.3,24.6,134,,,,
1917-11-01,,,,,17.3,27.7,23.6,32.5,17,37.3,27.5,111.2,,,,
1917-12-01,,,,,68.1,35.6,41.7,58.4,10.3,34.8,18,63.3,,,,
1918-01-01,,,,,44.3,75.7,63.2,70.1,8.6,25.9,10.1,33.2,,,,
1918-02-01,,,,,35.4,47.1,56.1,84.3,8.3,30.5,136.5,152.6,,,,
1918-03-01,,,,,18.3,36.2,75.2,41.7,22.5,114,183.4,370.2,,,,
1918-04-01,,,,,36,53.9,57.4,50.3,27,122.8,37.2,362.5,,,,
1918-05-01,,,,,106.7,112.8,76.2,70.6,56.3,100.3,24.1,151.1,,,,
1918-06-01,,,,,60.8,50.4,69.3,75.7,53.6,68,16.2,89.4,,,,
1918-07-01,,,,,64.9,38.8,45.7,59.2,12.2,43.6,6.4,49.4,,,,
1918-08-01,,,,,76.2,56.3,55.4,63,11,29.6,5.5,32.2,,,,
1918-09-01,,,,,82.1,64.1,116.8,115.8,10.1,27.8,20.1,53.6,,,,
1918-10-01,,,,,81.2,77.5,61.2,84.8,10.4,41.8,11.2,169.4,,,,
1918-11-01,,,,,72.5,87,52.8,43.7,18.8,71.6,23.1,228.3,,,,
1918-12-01,,,,,55.5,78.9,74.4,69.6,9.7,75.4,93.2,253.6,,,,
1919-01-01,,,,,34.2,34.7,28.4,41.1,7.5,64.9,42.1,174.4,,,,
1919-02-01,,,,,51.3,44.7,36.6,35.6,6.1,38.1,20.3,77.8,,,,
1919-03-01,,,,,45.9,69.8,80.3,81.3,34.5,101.3,186.2,350.5,,,,
1919-04-01,,,,,55.8,78.4,137.7,82.8,100.2,155.7,77.2,425.8,,,,
1919-05-01,,,,,50.2,86,114.6,152.1,40.6,122.8,81.4,368.1,,,,
1919-06-01,,,,,58.4,38,57.2,71.1,49.9,63.7,18.1,158.4,,,,
1919-07-01,,,,,57.6,56.1,41.7,57.4,21.6,32.9,9.5,64.2,,,,
1919-08-01,,,,,63.1,55.3,93.7,73.9,15.6,26.1,11.2,36.1,,,,
1919-09-01,,,,,85.3,84.2,53.6,51.8,11.7,28.7,6.6,44.1,,,,
1919-10-01,,,,,85.2,107.5,100.8,99.3,15.6,53,38.3,74.6,,,,
1919-11-01,,,,,103.4,71.8,48.8,48.3,34.4,79.8,57.6,112.8,,,,
1919-12-01,,,,,43.9,36.3,31.5,40.6,14.5,62.5,40.8,106.9,,,,
1920-01-01,,,,,43.5,46.4,46.7,48,12.7,36.5,9.7,35.6,,,,
1920-02-01,,,,,18.3,26.2,30.2,47.2,12.1,29.8,15.8,33.6,,,,
1920-03-01,,,,,81.9,74.7,43.4,51.6,79.9,144.9,152.2,363.3,,,,
1920-04-01,,,,,59,72.2,105.2,72.4,86.6,147.5,127.8,255,,,,
1920-05-01,,,,,36.8,32.6,30,12.7,51.4,78.6,31.1,128.4,,,,
1920-06-01,,,,,100.9,88.7,118.1,63.5,109.5,49.3,14.3,45.7,,,,
1920-07-01,,,,,88.8,71.2,80.8,66,51.9,47.9,45.5,77.3,,,,
1920-08-01,,,,,47.7,57.2,77.2,49.5,23.4,27.5,12.8,49,,,,
1920-09-01,,,,,59.2,57.6,44.2,67.6,13,21.5,8.2,43.2,,,,
1920-10-01,,,,,50.2,57.9,72.6,64,15.9,26.7,9.2,59.1,,,,
1920-11-01,,,,,41.4,65.7,79.2,93.7,15.1,42.6,50.1,111.5,,,,
1920-12-01,,,,,73.7,93.4,69.9,85.1,14.1,59.9,78.4,265.1,,,,
1921-01-01,,,,,34,27,33,20.6,14,61.8,64.4,132.8,,,,
1921-02-01,,,,,34.4,25.1,47.5,44.2,10.8,35.1,73.3,96.4,,,,
1921-03-01,,,,,70,97.4,110.7,90.7,25.6,124.4,201.7,500.7,,,,
1921-04-01,,,,,75.2,85.4,96.5,80.8,86.9,130.7,109.7,245.3,,,,
1921-05-01,,,,,66.8,42.9,58.2,48.8,60.5,81.8,75.1,106.1,,,,
1921-06-01,,,,,33.4,41.6,63.5,42.4,58.7,45.3,18.5,53.7,,,,
1921-07-01,,,,,127.5,63.2,69.9,67.1,26.3,26.2,13.6,59.6,,,,
1921-08-01,,,,,60.6,91.8,89.7,53.8,15.4,23.3,7.2,39.4,,,,
1921-09-01,,,,,108.1,98.5,84.6,43.7,12.4,23.3,8.5,34.4,,,,
1921-10-01,,,,,43,86.5,66.5,90.9,11.6,28.7,12.9,59.1,,,,
1921-11-01,,,,,53.5,64.1,94,76.2,12.3,31.6,70.7,161.2,,,,
1921-12-01,,,,,57.3,83.8,50.3,56.9,12.5,56.8,67.1,135.2,,,,
1922-01-01,,,,,53.1,43.8,38.6,39.9,9.1,40.8,36.2,74.2,,,,
1922-02-01,,,,,76.4,84.1,37.1,63.2,7.7,36,56.1,111.7,,,,
